candidateName,candidateParty,candidateVotes,seat,seatName
Muhammad Rasool,Independent,19,NA-48,Tribal Area - IX
Muhammad Umar Akbar Khan,Independent,885,NA-48,Tribal Area - IX
Nek Amal Khan,Pakistan Muslim League (N),72,NA-48,Tribal Area - IX
Nek Muhammad Khan,Independent,1266,NA-48,Tribal Area - IX
Noor Behram,Independent,27,NA-48,Tribal Area - IX
Pir Muhammad Aqal Shah,Independent,973,NA-48,Tribal Area - IX
Rehman Gul Akhunzada,Independent,43,NA-48,Tribal Area - IX
Safi Ullah,Pashtoonkhwa Milli Awami Party,21,NA-48,Tribal Area - IX
Sher Bahadur Khan,Independent,151,NA-48,Tribal Area - IX
Sher Ullah Khan,Independent,18,NA-48,Tribal Area - IX
Sher Wali Khan,Independent,10,NA-48,Tribal Area - IX
Zia Ur Rehman,Independent,2023,NA-48,Tribal Area - IX
Ahmad Hussain,Independent,56,NA-49,Tribal Area - X
Noor Hassan,Independent,1907,NA-49,Tribal Area - X
Abdul Raheem Khan Barki,Independent,3800,NA-49,Tribal Area - X
Sadam Hussain,Independent,1225,NA-49,Tribal Area - X
Dilawar Khan,Pakistan Muslim League (N),54,NA-49,Tribal Area - X
Qayyum Sher,Independent,6075,NA-49,Tribal Area - X
Abdul Hameed,Independent,50,NA-49,Tribal Area - X
Muhammad Iqbal,Independent,2588,NA-49,Tribal Area - X
Waheed Khan,Independent,162,NA-49,Tribal Area - X
Abdul Qadoos Khan,Independent,329,NA-49,Tribal Area - X
Jahangir Khan,Awami National Party,2333,NA-49,Tribal Area - X
Abdullah,Independent,94,NA-49,Tribal Area - X
Nawab Naik Badshah Mahsud,Independent,124,NA-49,Tribal Area - X
Abdul Majeed,Independent,103,NA-49,Tribal Area - X
Muhammad Jamal Ud Din,Muttahida Majlis-e-Amal Pakistan,7794,NA-49,Tribal Area - X
Zahoor Khan,Independent,24,NA-49,Tribal Area - X
Jamal Shah,Pashtoonkhwa Milli Awami Party,289,NA-49,Tribal Area - X
Atta Mir Khan,Qaumi Watan Party,494,NA-49,Tribal Area - X
Sami Ullah Jan,Independent,9,NA-49,Tribal Area - X
Dost Muhammad Khan,Pakistan Tehreek-e-Insaf,6606,NA-49,Tribal Area - X
Afsar Khan,Independent,35,NA-49,Tribal Area - X
Dilber Khan,Independent,43,NA-49,Tribal Area - X
Syed Muhammad Zahoor Shah,Independent,16,NA-49,Tribal Area - X
Sherpao,Independent,2129,NA-49,Tribal Area - X
Zahir Shah,Independent,90,NA-49,Tribal Area - X
Abdul Khaliq Khan,Independent,38,NA-50,Tribal Area - XI
Abdul Rashid,Independent,269,NA-50,Tribal Area - XI
Abdullah,Independent,184,NA-50,Tribal Area - XI
Ajab Gul,Independent,37,NA-50,Tribal Area - XI
Allah Dad Khan,Independent,38,NA-50,Tribal Area - XI
Aman Ullah,Pakistan Peoples Party Parliamentarians,224,NA-50,Tribal Area - XI
Anwar Khan,Independent,10,NA-50,Tribal Area - XI
Anwar Khan so Umar Khan,Independent,15,NA-50,Tribal Area - XI
Ghalib Khan,Pakistan Muslim League (N),725,NA-50,Tribal Area - XI
Hafiz Ul Amin,Independent,51,NA-50,Tribal Area - XI
Javed Iqbal,Independent,1448,NA-50,Tribal Area - XI
Jumma Khan,Independent,50,NA-50,Tribal Area - XI
Mahmood Alam,Muttahida Majlis-e-Amal Pakistan,7515,NA-50,Tribal Area - XI
Muhammad Ali,Independent,23530,NA-50,Tribal Area - XI
Muhammad Asghar Khan,Independent,66,NA-50,Tribal Area - XI
Muhammad Ayaz Khan,Awami National Party,285,NA-50,Tribal Area - XI
Muhammad Gulab,Independent,40,NA-50,Tribal Area - XI
Muhammad Ilyas,Independent,78,NA-50,Tribal Area - XI
Muhammad Noor,Independent,67,NA-50,Tribal Area - XI
Muhammad Rehman,Independent,308,NA-50,Tribal Area - XI
Naik Muhammad so Adam Khan,Independent,45,NA-50,Tribal Area - XI
Naik Muhammad so Haji Syl Khan,Independent,17,NA-50,Tribal Area - XI
Naseer Ullah Khan,Independent,2626,NA-50,Tribal Area - XI
Noor Hassan,Independent,110,NA-50,Tribal Area - XI
Sana Ullah Khan,Independent,470,NA-50,Tribal Area - XI
Syed Tariq Gillani,Independent,8250,NA-50,Tribal Area - XI
Taj Muhammad,Independent,15,NA-50,Tribal Area - XI
Zar Wali Khan,Jamiat Ulama-e-Islam Pakistan (S),162,NA-50,Tribal Area - XI
Qaiser Jamal,Pakistan Tehreek-e-Insaf,18689,NA-51,Tribal Area - XII
Shahi Khan,Awami National Party,2399,NA-51,Tribal Area - XII
Ikram Ullah,Pakistan Peoples Party Parliamentarians,1158,NA-51,Tribal Area - XII
Kifyat Ullah,Independent,192,NA-51,Tribal Area - XII
Abid Rehman,Independent,54,NA-51,Tribal Area - XII
Muhammad sohail khan bettani,Independent,698,NA-51,Tribal Area - XII
Rozi Shah,National Party,18,NA-51,Tribal Area - XII
Jumma Khan,Independent,400,NA-51,Tribal Area - XII
Wazir Badshah,Independent,26,NA-51,Tribal Area - XII
Abdul Shakoor,Muttahida Majlis-e-Amal Pakistan,21896,NA-51,Tribal Area - XII
Abdullah,Independent,5157,NA-51,Tribal Area - XII
Ishfaq Khan Bettani,Independent,45,NA-51,Tribal Area - XII
Hazrat Nawaz,Independent,1854,NA-51,Tribal Area - XII
Miraj Gul,Independent,385,NA-51,Tribal Area - XII
Ghulam Badshah,Independent,131,NA-51,Tribal Area - XII
Allawdin,Independent,81,NA-51,Tribal Area - XII
Bazgul,Independent,14662,NA-51,Tribal Area - XII
Younis Khan,Pashtoonkhwa Milli Awami Party,820,NA-51,Tribal Area - XII
Aimal Khan,Independent,115,NA-51,Tribal Area - XII
Asia Bibi,Independent,127,NA-52,Islamabad-I
Asrar Ahmed Abbasi,Independent,186,NA-52,Islamabad-I
Bilal Faisal Amin,Muttahida Majlis-e-Amal Pakistan,2495,NA-52,Islamabad-I
Hafiz Muhammad Aslam,Tehreek-e-Labbaik Islam,548,NA-52,Islamabad-I
Muhammad Afzal Khokhar,Pakistan Peoples Party Parliamentarians,34072,NA-52,Islamabad-I
Raja Khurram Shahzad Nawaz,Pakistan Tehreek-e-Insaf,64690,NA-52,Islamabad-I
Rizwan Ahmed,Tehreek-e-Labbaik Pakistan,11984,NA-52,Islamabad-I
Syed Amjad Ali Shah,Independent,541,NA-52,Islamabad-I
Tariq Fazal Chaudhry,Pakistan Muslim League (N),33519,NA-52,Islamabad-I
Javed Akhter,Independent,81,NA-53,Islamabad-II
Amjad Masih,Independent,160,NA-53,Islamabad-II
Zaib ur Rehman,Independent,0,NA-53,Islamabad-II
Mukhdoom Muhammad Niaz Inqlabi,Independent,30,NA-53,Islamabad-II
Mansoor Akash Randhawa,Independent,89,NA-53,Islamabad-II
Raja Qadeer Ahmed,Independent,94,NA-53,Islamabad-II
Asif,Independent,1349,NA-53,Islamabad-II
Muhammad Afnan Umer Baloch,Tehreek-e-Labbaik Pakistan,5144,NA-53,Islamabad-II
Nadeem Sarwar,Awami National Party,31,NA-53,Islamabad-II
Muhammad Zafar,Independent,58,NA-53,Islamabad-II
Muhammad Amjad,All Pakistan Muslim League,94,NA-53,Islamabad-II
Ghulam Rasool,Humdardan-e-Watan Pakistan,755,NA-53,Islamabad-II
khawaja Khalil ur Rehman,Independent,248,NA-53,Islamabad-II
Imran Ahmed Khan Niazi,Pakistan Tehreek-e-Insaf,92891,NA-53,Islamabad-II
Syed Zafar Ali Shah,Independent,0,NA-53,Islamabad-II
Nasir Munir Ahmed,Independent,81,NA-53,Islamabad-II
Chaudhary Saeed Ahmad,Allah-o-Akbar Tehreek,1361,NA-53,Islamabad-II
Shahid Khaqan Abbasi,Pakistan Muslim League (N),44314,NA-53,Islamabad-II
Nadeem ul Zafar Khan,Independent,22,NA-53,Islamabad-II
Malik Muhammad Yousaf,Independent,623,NA-53,Islamabad-II
Abdul Hafeez,Tehreek-e-Labbaik Islam,369,NA-53,Islamabad-II
Syed Sibt ul Haider Bukhari,Pakistan Peoples Party Parliamentarians,17970,NA-53,Islamabad-II
Muhammad Asif Nawaz,Aam Log Party Pakistan,17,NA-53,Islamabad-II
Shahzad Asif Javed,Pak Sarzameen Party,123,NA-53,Islamabad-II
